,id,kjkrfgld,bpowgknt,raksnhjf,vwpsxrgk,omtioxzz,yfmzwkru,tiwrsloh,weioazcf,poor
7701,99905,KfoTG,zPfZR,qTmDg,hmAUm,,-3.0,1.0,5.5,False
2309,46850,KfoTG,zPfZR,,xzgJe,21.0,-3.0,-15.0,-34.5,True
5918,19896,tnDpM,THHLT,qTmDg,VJaVA,12.0,-3.0,-1.0,0.5,True
3998,3522,qzGkS,WXYiE,zeYAm,qNABl,12.0,-4.0,3.0,10.5,True
3888,55805,KfoTG,THHLT,DtMvg,lwCkE,12.0,-4.0,-5.0,-9.5,True
2007,6556,qzGkS,THHLT,rXCdD,sPNOc,12.0,-3.0,3.0,10.5,False
2613,64679,,mDadf,DtMvg,NdlDR,12.0,-4.0,-5.0,-9.5,True
3641,70687,qzGkS,THHLT,,sPNOc,12.0,-2.0,3.0,10.5,False
25,69848,qzGkS,THHLT,DtMvg,DBUky,12.0,-3.0,-1.0,0.5,False
1547,40534,Lsuai,WXYiE,DtMvg,qXvRS,12.0,-2.0,-1.0,0.5,False
1250,7474,KfoTG,THHLT,DtMvg,lwCkE,12.0,-3.0,-7.0,-14.5,True
7415,34074,qzGkS,WXYiE,qTmDg,bUhyU,21.0,-3.0,-1.0,0.5,True
2198,92466,ljBjd,THHLT,TKfyw,IJnCs,30.0,-3.0,1.0,5.5,False
6826,35643,Lsuai,THHLT,rXCdD,AjMVN,12.0,-4.0,-9.0,-19.5,True
401,73379,,mDadf,zeYAm,BidgV,12.0,-4.0,-5.0,-9.5,True
4069,57623,Lsuai,THHLT,,DBUky,12.0,-4.0,-1.0,0.5,True
2719,63024,GVYCk,zPfZR,DtMvg,hmAUm,21.0,-3.0,-7.0,-14.5,False
5973,64093,KfoTG,mDadf,rXCdD,XHmQd,21.0,-2.0,-7.0,-14.5,True
967,40075,qzGkS,zPfZR,qTmDg,mIqzL,,-4.0,-3.0,-4.5,True
7175,14463,AfgYR,THHLT,qTmDg,tXtkv,12.0,-3.0,-19.0,-44.5,True
6401,33857,qzGkS,hMHca,DtMvg,XAmOF,21.0,-1.0,-7.0,-14.5,False
4514,46599,Lsuai,THHLT,zeYAm,xzgJe,93.0,0.0,-1.0,0.5,False
6038,98489,Lsuai,zPfZR,TKfyw,bUhyU,12.0,-4.0,3.0,10.5,False
3347,39946,KfoTG,zPfZR,DtMvg,yKWYC,30.0,-3.0,1.0,5.5,False
2250,37710,qzGkS,zPfZR,DtMvg,VJaVA,3.0,-2.0,-7.0,-14.5,True
5809,67585,Lsuai,mDadf,rXCdD,SaVqO,12.0,-4.0,-3.0,-4.5,True
4783,47638,tnDpM,DnomH,qTmDg,yygvO,12.0,-2.0,-3.0,,False
2034,20148,KfoTG,zPfZR,qTmDg,puHHm,12.0,-4.0,-3.0,-4.5,True
2799,6694,qzGkS,mDadf,DtMvg,lwCkE,3.0,-3.0,-3.0,-4.5,True
7673,66822,qzGkS,THHLT,DtMvg,BidgV,21.0,-4.0,3.0,10.5,False
793,40222,Lsuai,THHLT,DtMvg,puHHm,30.0,-2.0,1.0,5.5,False
172,42793,qzGkS,THHLT,DtMvg,qcizG,3.0,-4.0,-1.0,0.5,True
6212,19304,KfoTG,THHLT,DtMvg,puHHm,3.0,-4.0,-9.0,-19.5,False
3533,66857,ljBjd,DnomH,zeYAm,ZlqSm,21.0,-3.0,-3.0,-4.5,True
4991,39392,Lsuai,THHLT,DtMvg,hmAUm,3.0,-2.0,-3.0,-4.5,False
1518,1754,AfgYR,WXYiE,qTmDg,ZCIYy,3.0,-2.0,-9.0,-19.5,True
6718,18510,KfoTG,hMHca,DtMvg,RpXJc,,-4.0,-5.0,-9.5,False
6550,5154,KfoTG,THHLT,rXCdD,QRKWz,21.0,-4.0,-3.0,-4.5,False
2942,83992,qzGkS,THHLT,zeYAm,ZlqSm,12.0,-3.0,-3.0,-4.5,True
6326,84882,qzGkS,WXYiE,qTmDg,ARuYG,30.0,-3.0,-7.0,-14.5,False
221,93506,KfoTG,WXYiE,rXCdD,QRKWz,21.0,-4.0,-7.0,-14.5,False
7604,41136,ljBjd,mDadf,TKfyw,NdlDR,12.0,-2.0,-3.0,-4.5,False
4080,20489,qzGkS,THHLT,rXCdD,AjMVN,21.0,-3.0,1.0,5.5,False
6352,5855,Lsuai,THHLT,DtMvg,DBUky,12.0,-3.0,1.0,5.5,False
962,38623,KfoTG,THHLT,DtMvg,SaVqO,12.0,-4.0,-9.0,-19.5,True
6885,28110,qzGkS,THHLT,DtMvg,shPwO,12.0,-3.0,3.0,10.5,False
5469,4238,qzGkS,mDadf,DtMvg,ZCIYy,3.0,-3.0,-5.0,-9.5,True
1961,63651,Lsuai,hMHca,qTmDg,hmAUm,30.0,-2.0,,-9.5,False
807,47898,Lsuai,THHLT,DtMvg,DBUky,12.0,-3.0,1.0,5.5,False
6399,99484,Lsuai,THHLT,DtMvg,shPwO,30.0,-2.0,-3.0,-4.5,False
1018,93503,KfoTG,DnomH,TKfyw,qNABl,21.0,-4.0,-5.0,-9.5,True
337,86307,Lsuai,THHLT,qTmDg,tXtkv,12.0,-4.0,-1.0,0.5,False
2873,97356,qzGkS,mDadf,DtMvg,sPNOc,21.0,-3.0,-9.0,-19.5,True
2341,40694,Lsuai,THHLT,qTmDg,qcizG,12.0,-2.0,-3.0,,False
6315,4751,qzGkS,THHLT,DtMvg,BidgV,,-4.0,1.0,5.5,False
4336,42799,KfoTG,zPfZR,qTmDg,qcizG,3.0,-4.0,-1.0,0.5,False
3051,83122,qzGkS,WXYiE,,sPNOc,21.0,-2.0,-3.0,-4.5,False
3602,12221,qzGkS,mDadf,qTmDg,VJaVA,3.0,-1.0,-5.0,-9.5,True
2903,20404,qzGkS,zPfZR,TKfyw,bUhyU,21.0,-3.0,-5.0,-9.5,True
1389,30049,Lsuai,mDadf,qTmDg,bUhyU,12.0,-4.0,-9.0,-19.5,True
8194,24606,qzGkS,WXYiE,qTmDg,vVbnO,30.0,-2.0,-9.0,-19.5,True
7866,72444,qzGkS,mDadf,qTmDg,qNABl,30.0,-3.0,-1.0,0.5,False
2227,48018,Lsuai,THHLT,DtMvg,sPNOc,21.0,-3.0,-3.0,-4.5,False
1671,56849,Lsuai,mDadf,rXCdD,SaVqO,12.0,-3.0,-5.0,-9.5,True
5113,77721,KfoTG,zPfZR,TKfyw,tXtkv,12.0,-3.0,-5.0,-9.5,True
1484,97108,KfoTG,THHLT,TKfyw,ZCIYy,3.0,-2.0,-7.0,-14.5,True
2998,48308,Lsuai,THHLT,zeYAm,ZCIYy,21.0,-2.0,-11.0,-24.5,True
980,51735,Lsuai,THHLT,DtMvg,yygvO,30.0,-2.0,-7.0,-14.5,True
897,22335,qzGkS,THHLT,DtMvg,AjMVN,30.0,-2.0,-3.0,-4.5,False
7510,2957,KfoTG,THHLT,,vVbnO,21.0,-4.0,-1.0,0.5,False
4736,56006,Lsuai,THHLT,qTmDg,hmAUm,3.0,-4.0,-3.0,-4.5,True
2459,28334,ljBjd,zPfZR,DtMvg,IJnCs,30.0,-3.0,-3.0,-4.5,False
1276,13274,qzGkS,zPfZR,qTmDg,shPwO,30.0,-2.0,-5.0,-9.5,False
7067,7531,ljBjd,THHLT,DtMvg,ARuYG,12.0,-4.0,-1.0,0.5,True
5327,30617,qzGkS,THHLT,qTmDg,IDkCg,3.0,-4.0,-1.0,0.5,True
4627,92025,tnDpM,mDadf,qTmDg,XHmQd,12.0,-2.0,-11.0,,True
6437,78137,Lsuai,THHLT,DtMvg,DBUky,12.0,-3.0,-11.0,-24.5,True
5287,56385,qzGkS,THHLT,DtMvg,qXvRS,3.0,-4.0,1.0,5.5,True
692,41281,qzGkS,DnomH,rXCdD,QRKWz,21.0,-2.0,-1.0,0.5,False
1087,72369,Lsuai,THHLT,qTmDg,SaVqO,12.0,-3.0,-5.0,-9.5,True
5360,61174,qzGkS,mDadf,DtMvg,lwCkE,21.0,-4.0,-7.0,-14.5,True
2113,36488,Lsuai,mDadf,DtMvg,XAmOF,21.0,-2.0,1.0,5.5,False
4224,70252,Lsuai,,qTmDg,hmAUm,12.0,-3.0,-7.0,-14.5,False
968,74345,KfoTG,THHLT,DtMvg,shPwO,12.0,-4.0,-7.0,-14.5,True
3040,73153,ljBjd,mDadf,DtMvg,vVbnO,3.0,-3.0,-1.0,0.5,True
7851,80267,qzGkS,zPfZR,qTmDg,mIqzL,12.0,-3.0,-1.0,0.5,False
7499,1227,Lsuai,mDadf,qTmDg,bUhyU,3.0,-4.0,-7.0,-14.5,True
5730,22306,qzGkS,zPfZR,zeYAm,ZCIYy,12.0,-4.0,-3.0,-4.5,True
1053,87484,Lsuai,zPfZR,zeYAm,NdlDR,21.0,-3.0,-13.0,-29.5,False
719,88000,qzGkS,THHLT,zeYAm,IDkCg,21.0,-3.0,-1.0,0.5,False
7625,39380,GVYCk,mDadf,rXCdD,vVbnO,21.0,-4.0,-3.0,-4.5,True
5911,65381,KfoTG,THHLT,DtMvg,QRKWz,21.0,-3.0,-13.0,-29.5,True
3579,67969,KfoTG,mDadf,zeYAm,xzgJe,3.0,-4.0,-5.0,-9.5,True
1741,35701,qzGkS,THHLT,DtMvg,qcizG,21.0,-4.0,-9.0,-19.5,True
5139,43918,Lsuai,THHLT,qTmDg,SaVqO,3.0,-4.0,3.0,10.5,False
3757,14852,,zPfZR,DtMvg,ARuYG,3.0,-4.0,-9.0,-19.5,True
1814,74429,Lsuai,THHLT,rXCdD,sPNOc,30.0,-2.0,-1.0,0.5,False
3220,53195,qzGkS,THHLT,qTmDg,shPwO,30.0,-3.0,-7.0,-14.5,False
2125,61505,Lsuai,mDadf,DtMvg,VJaVA,3.0,-2.0,-1.0,0.5,True
2223,10483,Lsuai,hMHca,DtMvg,qXvRS,12.0,-4.0,-5.0,-9.5,False
2769,89759,qzGkS,mDadf,DtMvg,,21.0,,-3.0,,True
1395,42101,KfoTG,THHLT,rXCdD,qNABl,21.0,-3.0,-3.0,-4.5,False
860,79771,qzGkS,THHLT,rXCdD,QRKWz,12.0,-4.0,-5.0,-9.5,True
4395,54395,qzGkS,THHLT,DtMvg,IDkCg,12.0,-3.0,-1.0,0.5,False
5107,52774,qzGkS,hMHca,DtMvg,ZlqSm,39.0,-2.0,1.0,5.5,False
6101,71832,KfoTG,THHLT,TKfyw,SaVqO,12.0,-4.0,-5.0,-9.5,True
6831,60011,ljBjd,mDadf,rXCdD,QRKWz,12.0,-3.0,-13.0,-29.5,True
4601,83823,Lsuai,WXYiE,DtMvg,esAQH,12.0,-4.0,3.0,10.5,False
4186,3711,qzGkS,THHLT,DtMvg,QRKWz,30.0,-2.0,1.0,5.5,False
4551,76262,Lsuai,hMHca,DtMvg,qcizG,30.0,-3.0,1.0,5.5,False
1125,25586,qzGkS,mDadf,DtMvg,IDkCg,3.0,-2.0,1.0,5.5,False
8046,65373,KfoTG,zPfZR,qTmDg,DBUky,30.0,-3.0,-3.0,-4.5,True
552,8339,Lsuai,THHLT,TKfyw,qcizG,21.0,-2.0,-9.0,-19.5,False
2154,32897,KfoTG,WXYiE,rXCdD,qNABl,12.0,-4.0,-1.0,0.5,True
4122,44761,,mDadf,zeYAm,DBUky,30.0,-3.0,-7.0,-14.5,False
7529,22480,qzGkS,mDadf,rXCdD,SaVqO,21.0,-3.0,-9.0,-19.5,True
7450,80434,tnDpM,zPfZR,TKfyw,tXtkv,12.0,-4.0,1.0,5.5,False
5239,10946,KfoTG,zPfZR,zeYAm,BidgV,12.0,-4.0,-1.0,0.5,True
2859,44004,Lsuai,,,ARuYG,3.0,-3.0,-1.0,0.5,False
6757,11302,Lsuai,THHLT,rXCdD,vVbnO,30.0,-3.0,-5.0,-9.5,True
4493,28214,KfoTG,THHLT,zeYAm,yKWYC,30.0,-2.0,-9.0,-19.5,True
1660,29108,qzGkS,mDadf,DtMvg,shPwO,30.0,-3.0,-3.0,-4.5,False
1880,13221,qzGkS,zPfZR,DtMvg,,12.0,-3.0,1.0,5.5,False
7966,64107,qzGkS,THHLT,zeYAm,qNABl,12.0,-3.0,-1.0,0.5,False
1460,20552,,THHLT,DtMvg,esAQH,,-3.0,-9.0,-19.5,True
7493,575,qzGkS,THHLT,DtMvg,mIqzL,3.0,-4.0,-5.0,,False
7446,86503,AfgYR,zPfZR,rXCdD,ZCIYy,3.0,,-3.0,-4.5,False
4792,70214,KfoTG,WXYiE,DtMvg,lwCkE,21.0,,-9.0,-19.5,True
4922,31328,qzGkS,mDadf,DtMvg,DBUky,3.0,-4.0,-9.0,-19.5,True
4834,79374,GVYCk,mDadf,DtMvg,,21.0,-3.0,1.0,5.5,False
4301,65442,KfoTG,mDadf,rXCdD,IDkCg,12.0,-3.0,-5.0,-9.5,True
685,17088,KfoTG,THHLT,DtMvg,lwCkE,12.0,-3.0,-5.0,-9.5,True
1069,58359,ljBjd,zPfZR,DtMvg,XHmQd,12.0,-4.0,-1.0,0.5,True
3231,63451,ljBjd,hMHca,DtMvg,qXvRS,21.0,-2.0,-3.0,-4.5,False
87,58395,qzGkS,THHLT,DtMvg,shPwO,21.0,-4.0,-3.0,-4.5,True
3303,17371,GVYCk,THHLT,DtMvg,hmAUm,21.0,-4.0,-3.0,-4.5,False
4422,9704,qzGkS,THHLT,rXCdD,QRKWz,3.0,-4.0,-5.0,-9.5,True
4607,37278,Lsuai,THHLT,TKfyw,yygvO,30.0,-4.0,-5.0,-9.5,False
6083,13085,KfoTG,mDadf,,ZCIYy,12.0,,-5.0,-9.5,True
7093,42394,qzGkS,mDadf,DtMvg,NdlDR,12.0,-2.0,,-9.5,True
3677,24633,KfoTG,THHLT,qTmDg,NdlDR,21.0,-3.0,-13.0,-29.5,True
6717,41502,Lsuai,THHLT,DtMvg,qXvRS,12.0,-2.0,1.0,5.5,False
1729,54287,Lsuai,THHLT,DtMvg,XAmOF,39.0,-2.0,,-14.5,True
160,71489,Lsuai,THHLT,DtMvg,sPNOc,30.0,-3.0,-1.0,0.5,False
1033,35918,ljBjd,,DtMvg,ARuYG,12.0,-3.0,-15.0,-34.5,True
7065,76838,qzGkS,zPfZR,DtMvg,mIqzL,21.0,-4.0,1.0,5.5,False
3431,44972,ljBjd,THHLT,DtMvg,ARuYG,12.0,-3.0,-1.0,0.5,True
303,90226,qzGkS,THHLT,DtMvg,shPwO,21.0,-4.0,-3.0,-4.5,False
7533,46229,ljBjd,THHLT,DtMvg,qcizG,12.0,-3.0,-7.0,-14.5,True
3865,12718,qzGkS,THHLT,DtMvg,IDkCg,12.0,-4.0,-1.0,0.5,False
4357,15893,qzGkS,mDadf,DtMvg,BidgV,21.0,,-7.0,-14.5,True
7291,44971,Lsuai,THHLT,rXCdD,sPNOc,12.0,-2.0,,5.5,False
3783,55851,qzGkS,,zeYAm,IDkCg,21.0,-4.0,-5.0,-9.5,True
125,54336,,mDadf,DtMvg,lwCkE,12.0,-3.0,-1.0,0.5,False
6609,85447,AfgYR,DnomH,,yKWYC,12.0,-4.0,-9.0,-19.5,True
2783,66208,KfoTG,,DtMvg,ZCIYy,3.0,-3.0,-3.0,-4.5,True
797,93504,,THHLT,TKfyw,XHmQd,,-3.0,-7.0,-14.5,True
6143,57699,KfoTG,WXYiE,zeYAm,ZCIYy,21.0,-2.0,-15.0,-34.5,True
7115,47762,Lsuai,mDadf,qTmDg,ARuYG,12.0,-4.0,-9.0,,False
3181,78640,qzGkS,THHLT,DtMvg,esAQH,21.0,-1.0,-11.0,-24.5,False
8076,76215,qzGkS,THHLT,TKfyw,qcizG,3.0,-4.0,-1.0,0.5,True
7555,13086,ljBjd,THHLT,zeYAm,AjMVN,12.0,-4.0,-7.0,-14.5,True
4277,12453,Lsuai,WXYiE,DtMvg,QRKWz,21.0,-4.0,-7.0,-14.5,False
622,65595,,THHLT,DtMvg,qXvRS,12.0,-3.0,1.0,5.5,False
998,48711,Lsuai,WXYiE,DtMvg,AjMVN,,-4.0,-3.0,-4.5,False
7161,58237,tnDpM,zPfZR,qTmDg,tXtkv,12.0,-4.0,-11.0,-24.5,True
3335,95674,,THHLT,zeYAm,esAQH,12.0,-3.0,-7.0,-14.5,True
4824,10385,qzGkS,zPfZR,zeYAm,,12.0,-3.0,-3.0,-4.5,True
1475,86311,Lsuai,mDadf,DtMvg,hmAUm,21.0,-2.0,-7.0,-14.5,True
1979,68097,qzGkS,mDadf,DtMvg,VJaVA,12.0,-2.0,-13.0,-29.5,True
4974,40205,Lsuai,mDadf,DtMvg,XAmOF,,-4.0,1.0,5.5,False
6841,46018,ljBjd,mDadf,rXCdD,vVbnO,21.0,-3.0,-15.0,-34.5,True
3929,64700,GVYCk,THHLT,DtMvg,hmAUm,21.0,,1.0,5.5,False
275,97224,qzGkS,THHLT,rXCdD,sPNOc,39.0,-2.0,-5.0,-9.5,False
1599,21717,qzGkS,,DtMvg,BidgV,12.0,-4.0,-1.0,0.5,False
2628,18545,Lsuai,THHLT,DtMvg,sPNOc,21.0,-2.0,-1.0,0.5,False
1099,46054,qzGkS,zPfZR,qTmDg,ARuYG,12.0,-2.0,-5.0,-9.5,False
6818,37842,Lsuai,THHLT,DtMvg,RpXJc,21.0,-2.0,-3.0,-4.5,False
5552,18456,qzGkS,mDadf,zeYAm,xzgJe,21.0,-3.0,-5.0,-9.5,True
4199,6807,Lsuai,THHLT,,VJaVA,21.0,-3.0,-9.0,-19.5,True
1216,95852,AfgYR,mDadf,qTmDg,tXtkv,30.0,0.0,-1.0,0.5,False
5535,10005,KfoTG,WXYiE,qTmDg,bUhyU,12.0,-4.0,-5.0,-9.5,True
2145,17061,KfoTG,mDadf,TKfyw,VJaVA,-6.0,-2.0,3.0,10.5,False
5839,53380,ljBjd,THHLT,zeYAm,AjMVN,21.0,-3.0,-1.0,0.5,False
3980,51569,qzGkS,hMHca,DtMvg,shPwO,30.0,-2.0,1.0,5.5,False
5041,1822,qzGkS,THHLT,rXCdD,sPNOc,12.0,-3.0,3.0,10.5,False
3625,55683,Lsuai,zPfZR,DtMvg,hmAUm,21.0,-3.0,-1.0,0.5,False
735,50848,KfoTG,THHLT,rXCdD,SaVqO,21.0,-3.0,-1.0,0.5,False
2059,1554,qzGkS,THHLT,zeYAm,xzgJe,12.0,-3.0,-1.0,0.5,False
4848,53579,KfoTG,mDadf,qTmDg,ZCIYy,12.0,-2.0,-3.0,-4.5,True
1624,92330,GVYCk,zPfZR,DtMvg,ZlqSm,21.0,-3.0,3.0,10.5,False
5692,82875,KfoTG,THHLT,rXCdD,vVbnO,39.0,-4.0,-3.0,-4.5,False
3463,54051,AfgYR,THHLT,rXCdD,qNABl,21.0,-4.0,1.0,5.5,False
3685,629,qzGkS,zPfZR,TKfyw,tXtkv,3.0,-4.0,-1.0,,True
5794,39430,Lsuai,THHLT,DtMvg,NdlDR,12.0,-3.0,,-4.5,False
2484,2759,tnDpM,THHLT,zeYAm,xzgJe,21.0,-3.0,-5.0,-9.5,True
1097,29198,qzGkS,THHLT,TKfyw,qcizG,-6.0,-4.0,-3.0,-4.5,True
7374,56878,GVYCk,THHLT,zeYAm,,30.0,-3.0,-5.0,-9.5,False
4318,76686,ljBjd,THHLT,DtMvg,SaVqO,21.0,-3.0,-7.0,-14.5,True
1844,80749,Lsuai,THHLT,qTmDg,bUhyU,12.0,-2.0,-5.0,-9.5,False
4884,66048,qzGkS,WXYiE,rXCdD,IJnCs,12.0,-4.0,1.0,5.5,False
8153,91401,Lsuai,hMHca,DtMvg,RpXJc,,-1.0,-11.0,-24.5,False
2370,94192,Lsuai,THHLT,TKfyw,xzgJe,12.0,-3.0,-9.0,-19.5,True
7408,7419,qzGkS,WXYiE,DtMvg,yygvO,3.0,,,-9.5,True
5778,5721,KfoTG,DnomH,zeYAm,yKWYC,21.0,-4.0,-3.0,-4.5,True
6388,7536,KfoTG,THHLT,DtMvg,SaVqO,12.0,-3.0,-9.0,-19.5,False
4370,59619,Lsuai,THHLT,DtMvg,esAQH,3.0,-3.0,-3.0,-4.5,True
4573,78732,Lsuai,WXYiE,DtMvg,RpXJc,30.0,-2.0,-1.0,0.5,False
5069,4721,KfoTG,THHLT,zeYAm,BidgV,21.0,-4.0,-1.0,0.5,False
6576,67337,GVYCk,THHLT,DtMvg,XAmOF,21.0,-2.0,-11.0,-24.5,False
7560,83510,Lsuai,WXYiE,DtMvg,puHHm,30.0,-4.0,-17.0,-39.5,True
1713,51763,qzGkS,THHLT,qTmDg,mIqzL,21.0,-2.0,-13.0,-29.5,True
3552,21315,Lsuai,zPfZR,TKfyw,bUhyU,3.0,-3.0,,-14.5,True
3824,77983,qzGkS,THHLT,qTmDg,bUhyU,12.0,-3.0,-1.0,0.5,True
8024,82665,KfoTG,,rXCdD,QRKWz,3.0,-4.0,1.0,5.5,False
5415,99123,qzGkS,zPfZR,qTmDg,bUhyU,12.0,-4.0,3.0,10.5,False
4262,91838,AfgYR,THHLT,DtMvg,esAQH,21.0,-3.0,1.0,5.5,False
7130,84108,KfoTG,THHLT,DtMvg,IDkCg,12.0,-3.0,-1.0,0.5,True
1658,70307,KfoTG,DnomH,TKfyw,yygvO,39.0,-2.0,-7.0,-14.5,False
3391,52384,qzGkS,THHLT,DtMvg,qcizG,3.0,-3.0,-1.0,0.5,True
4385,84345,KfoTG,zPfZR,DtMvg,tXtkv,12.0,-4.0,-3.0,-4.5,True
1736,77465,KfoTG,WXYiE,rXCdD,SaVqO,21.0,-3.0,-5.0,-9.5,True
4700,75134,Lsuai,THHLT,rXCdD,sPNOc,21.0,-2.0,-1.0,,False
1515,42143,KfoTG,zPfZR,DtMvg,mIqzL,21.0,-4.0,3.0,10.5,False
3780,36,Lsuai,THHLT,DtMvg,shPwO,39.0,-1.0,-7.0,-14.5,False
1146,20628,qzGkS,DnomH,rXCdD,IJnCs,48.0,,-3.0,-4.5,False
3799,5799,UhSVl,,DtMvg,IDkCg,3.0,-3.0,3.0,10.5,True
1436,74505,Lsuai,THHLT,DtMvg,mIqzL,21.0,-4.0,-7.0,-14.5,True
1818,49510,Lsuai,THHLT,DtMvg,esAQH,3.0,-3.0,-7.0,-14.5,True
3543,96562,qzGkS,mDadf,DtMvg,XHmQd,12.0,-4.0,-1.0,0.5,True
3833,55246,qzGkS,WXYiE,DtMvg,,21.0,-4.0,1.0,5.5,False
4953,17886,qzGkS,DnomH,DtMvg,yKWYC,12.0,-3.0,-17.0,-39.5,True
5812,99523,KfoTG,THHLT,DtMvg,esAQH,21.0,-2.0,-13.0,-29.5,False
8033,7199,ljBjd,THHLT,TKfyw,qcizG,12.0,-2.0,-5.0,-9.5,True
2458,79878,qzGkS,hMHca,rXCdD,AjMVN,12.0,,1.0,5.5,False
2361,40250,Lsuai,THHLT,qTmDg,XHmQd,12.0,-4.0,-7.0,-14.5,True
89,18896,ljBjd,zPfZR,TKfyw,IJnCs,21.0,-4.0,-3.0,-4.5,False
3403,15135,qzGkS,WXYiE,DtMvg,ARuYG,12.0,-1.0,-7.0,-14.5,False
6700,43597,Lsuai,zPfZR,TKfyw,ZCIYy,3.0,-3.0,-1.0,0.5,False
1608,66148,KfoTG,THHLT,DtMvg,shPwO,30.0,-4.0,-25.0,,False
3171,31192,Lsuai,THHLT,qTmDg,qcizG,12.0,-4.0,-5.0,-9.5,False
1453,61895,qzGkS,mDadf,DtMvg,BidgV,21.0,-3.0,-1.0,0.5,True
3668,93666,Lsuai,THHLT,DtMvg,qXvRS,12.0,-4.0,,5.5,False
290,80605,qzGkS,zPfZR,DtMvg,bUhyU,12.0,-2.0,-7.0,-14.5,True
7482,54433,AfgYR,zPfZR,qTmDg,mIqzL,3.0,-3.0,-3.0,-4.5,True
4316,7673,Lsuai,hMHca,DtMvg,hmAUm,21.0,-2.0,-3.0,,False
6463,67865,qzGkS,mDadf,DtMvg,IDkCg,21.0,-2.0,-3.0,-4.5,True
284,64330,KfoTG,mDadf,DtMvg,lwCkE,12.0,-3.0,-7.0,-14.5,True
7303,3648,Lsuai,mDadf,TKfyw,bUhyU,12.0,-3.0,-5.0,-9.5,True
